ASX Code,Company Name,Status,NCA Intangibles(ExGW)
14D,1414 Degrees Limited,Trading,"6,488,220.00"
1AD,AdAlta Limited,Trading,0
1AG,Alterra Limited,Trading,0
1ST,1ST Group Limited,Trading,"828,335.00"
2BE,Tubi Limited,Trading,"307,987.00"
360,Life360 Inc,Trading,"366,828.00"
3DA,Amaero International Ltd,Trading,0
3DP,Pointerra Limited,Trading,"74,501.00"
3PL,3P Learning Limited,Trading,"16,550,000.00"
4CE,Force Commodities Limited,Suspended,0
4DS,4DS Memory Limited,Trading,0
4DX,4DMedical Limited,Trading,"2,982,000.00"
5GN,5G Networks Limited,Trading,"294,000.00"
88E,88 Energy Limited,Trading,0
8CO,8Common Ltd,Trading,"540,612.00"
8EC,8IP Emerging Companies Limited,Suspended,--
8IH,8I Holdings Ltd,Trading,"489,413.00"
8VI,8VI Holdings Limited,Trading,"489,413.00"
9SP,9 Spokes International Limited,Trading,0
A1G,African Gold Limited ,Trading,0
A1M,AIC Mines Limited,Trading,0
A200,BetaShares Australia 200 ETF,Trading,--
A2B,A2B Australia Limited,Trading,"25,603,000.00"
A2M,The a2 Milk Company Limited,Trading,"5,152,760.00"
A3D,Aurora Labs Limited,Trading,"533,436.00"
A4N,Alpha HPA Limited,Trading,0
AAA,BetaShares Australian High Interest Cash ETF,Trading,--
AAC,Australian Agricultural Company Limited,Trading,"1,995,000.00"
AAJ,Aruma Resources Limited,Trading,0
AAP,Australian Agricultural Projects Limited,Trading,0
AAR,Anglo Australian Resources NL,Trading,0
AASF,Airlie Australian Share Fund (Managed Fund),Trading,--
ABA,Auswide Bank Ltd,Trading,--
ABB,Aussie Broadband Limited,Trading,"2,458,000.00"
ABC,ADBRI Limited,Trading,"10,800,000.00"
ABL,Abilene Oil and Gas Limited,Suspended,0
ABP,Abacus Property Group,Trading,--
ABR,American Pacific Borates Limited,Trading,0
ABV,Advanced Braking Technology Ltd,Trading,"671,000.00"
ABW,Aurora Absolute Return Fund,Suspended,--
ABX,Australian Bauxite Limited,Trading,0
ABY,Adore Beauty Group Limited,Trading,"1,400,000.00"
AC8,AusCann Group Holdings Ltd,Trading,0
ACB,A-Cap Energy Limited,Trading,0
ACDC,ETFS Battery Tech & Lithium ETF,Trading,--
ACF,Acrow Formwork and Construction Services Limited,Trading,0
ACP,Audalia Resources Limited,Trading,0
ACQ,Acorn Capital Investment Fund Limited ,Trading,--
ACR,Acrux Limited,Trading,"589,000.00"
ACS,Accent Resources N.L.,Trading,0
ACU,Acumentis Group Limited,Trading,--
ACW,Actinogen Medical Limited,Trading,"3,345,951.00"
